year,dominant_subfield,subfield_label,patents
1981,vision,Computer Vision,239
1982,evo,Evolutionary Computation,7
1982,hardware,AI Hardware,238
1982,kr,Knowledge Representation,16
1982,ml,Machine Learning,13
1982,nlp,Natural Language Processing,66
1982,planning,Planning & Reasoning,251
1982,speech,Speech Recognition,77
1982,vision,Computer Vision,226
1983,evo,Evolutionary Computation,9
1983,hardware,AI Hardware,218
1983,kr,Knowledge Representation,18
1983,ml,Machine Learning,12
1983,nlp,Natural Language Processing,75
1983,planning,Planning & Reasoning,241
1983,speech,Speech Recognition,89
1983,vision,Computer Vision,226
1984,evo,Evolutionary Computation,10
1984,hardware,AI Hardware,298
1984,kr,Knowledge Representation,13
1984,ml,Machine Learning,14
1984,nlp,Natural Language Processing,92
1984,planning,Planning & Reasoning,326
1984,speech,Speech Recognition,130
1984,vision,Computer Vision,306
1985,evo,Evolutionary Computation,22
1985,hardware,AI Hardware,310
1985,kr,Knowledge Representation,23
1985,ml,Machine Learning,19
1985,nlp,Natural Language Processing,79
1985,planning,Planning & Reasoning,378
1985,speech,Speech Recognition,108
1985,vision,Computer Vision,388
1986,evo,Evolutionary Computation,17
1986,hardware,AI Hardware,340
1986,kr,Knowledge Representation,28
1986,ml,Machine Learning,29
1986,nlp,Natural Language Processing,88
1986,planning,Planning & Reasoning,349
1986,speech,Speech Recognition,118
1986,vision,Computer Vision,447
1987,evo,Evolutionary Computation,19
1987,hardware,AI Hardware,443
1987,kr,Knowledge Representation,34
1987,ml,Machine Learning,29
1987,nlp,Natural Language Processing,122
1987,planning,Planning & Reasoning,542
1987,speech,Speech Recognition,137
1987,vision,Computer Vision,688
1988,evo,Evolutionary Computation,18
1988,hardware,AI Hardware,489
1988,kr,Knowledge Representation,35
1988,ml,Machine Learning,34
1988,nlp,Natural Language Processing,129
1988,planning,Planning & Reasoning,425
1988,speech,Speech Recognition,145
1988,vision,Computer Vision,654
1989,evo,Evolutionary Computation,40
1989,hardware,AI Hardware,699
1989,kr,Knowledge Representation,42
1989,ml,Machine Learning,59
1989,nlp,Natural Language Processing,197
1989,planning,Planning & Reasoning,599
1989,speech,Speech Recognition,204
1989,vision,Computer Vision,873
1990,evo,Evolutionary Computation,34
1990,hardware,AI Hardware,631
1990,kr,Knowledge Representation,35
1990,ml,Machine Learning,75
1990,nlp,Natural Language Processing,169
1990,planning,Planning & Reasoning,596
1990,speech,Speech Recognition,193
1990,vision,Computer Vision,919
1991,evo,Evolutionary Computation,29
1991,hardware,AI Hardware,663
1991,kr,Knowledge Representation,60
1991,ml,Machine Learning,85
1991,nlp,Natural Language Processing,187
1991,planning,Planning & Reasoning,695
1991,speech,Speech Recognition,182
1991,vision,Computer Vision,1053
1992,evo,Evolutionary Computation,33
1992,hardware,AI Hardware,751
1992,kr,Knowledge Representation,66
1992,ml,Machine Learning,153
1992,nlp,Natural Language Processing,199
1992,planning,Planning & Reasoning,698
1992,speech,Speech Recognition,190
1992,vision,Computer Vision,1111
1993,evo,Evolutionary Computation,49
1993,hardware,AI Hardware,871
1993,kr,Knowledge Representation,78
1993,ml,Machine Learning,189
1993,nlp,Natural Language Processing,251
1993,planning,Planning & Reasoning,829
1993,speech,Speech Recognition,223
1993,vision,Computer Vision,1213
1994,evo,Evolutionary Computation,53
1994,hardware,AI Hardware,1066
1994,kr,Knowledge Representation,109
1994,ml,Machine Learning,204
1994,nlp,Natural Language Processing,257
1994,planning,Planning & Reasoning,926
1994,speech,Speech Recognition,239
1994,vision,Computer Vision,1398
1995,evo,Evolutionary Computation,50
1995,hardware,AI Hardware,1224
1995,kr,Knowledge Representation,122
1995,ml,Machine Learning,225
1995,nlp,Natural Language Processing,281
1995,planning,Planning & Reasoning,929
1995,speech,Speech Recognition,256
1995,vision,Computer Vision,1477
1996,evo,Evolutionary Computation,69
1996,hardware,AI Hardware,1509
1996,kr,Knowledge Representation,177
1996,ml,Machine Learning,237
1996,nlp,Natural Language Processing,360
1996,planning,Planning & Reasoning,1200
1996,speech,Speech Recognition,341
1996,vision,Computer Vision,1781
1997,evo,Evolutionary Computation,80
1997,hardware,AI Hardware,1524
1997,kr,Knowledge Representation,198
1997,ml,Machine Learning,273
1997,nlp,Natural Language Processing,400
1997,planning,Planning & Reasoning,1175
1997,speech,Speech Recognition,430
1997,vision,Computer Vision,1757
1998,evo,Evolutionary Computation,127
1998,hardware,AI Hardware,2612
1998,kr,Knowledge Representation,373
1998,ml,Machine Learning,334
1998,nlp,Natural Language Processing,776
1998,planning,Planning & Reasoning,1882
1998,speech,Speech Recognition,678
1998,vision,Computer Vision,2703
1999,evo,Evolutionary Computation,149
1999,hardware,AI Hardware,2678
1999,kr,Knowledge Representation,406
1999,ml,Machine Learning,263
1999,nlp,Natural Language Processing,826
1999,planning,Planning & Reasoning,2022
1999,speech,Speech Recognition,638
1999,vision,Computer Vision,2770
2000,evo,Evolutionary Computation,137
2000,hardware,AI Hardware,2592
2000,kr,Knowledge Representation,460
2000,ml,Machine Learning,268
2000,nlp,Natural Language Processing,775
2000,planning,Planning & Reasoning,2152
2000,speech,Speech Recognition,623
2000,vision,Computer Vision,2752
