year,subfield,subfield_label,patents_50,patents_86,patents_93,avg_score
2017,vision,Computer Vision,46205,34304,32735,0.07271284018117988
2017,speech,Speech Recognition,9803,7956,7706,0.015811863592563927
2017,planning,Planning & Reasoning,68737,49772,47103,0.10466672612515517
2017,evo,Evolutionary Computation,12633,5859,5121,0.025226782089549576
2017,kr,Knowledge Representation,48148,29852,27359,0.07614825226846768
2017,hardware,AI Hardware,65130,42335,38972,0.10109192287385232
1976,ml,Machine Learning,78,28,26,0.002583728641319609
1976,nlp,Natural Language Processing,136,67,61,0.01103992273909808
1976,vision,Computer Vision,404,249,226,0.008921692962579757
1976,speech,Speech Recognition,104,60,55,0.0029770756771621623
1976,planning,Planning & Reasoning,522,252,226,0.009884183557867953
1976,evo,Evolutionary Computation,60,11,9,0.0035175153053605876
1976,kr,Knowledge Representation,82,28,19,0.0031135348378473616
1976,hardware,AI Hardware,585,314,281,0.01233872157846974
1977,ml,Machine Learning,78,32,24,0.002787060854420261
1977,nlp,Natural Language Processing,134,63,59,0.011094961175133443
1977,vision,Computer Vision,387,213,199,0.00937282133041074
1977,speech,Speech Recognition,124,88,84,0.003360774062089371
1977,planning,Planning & Reasoning,523,274,242,0.010449687229250864
1977,evo,Evolutionary Computation,61,8,5,0.003719345560844466
1977,kr,Knowledge Representation,79,21,17,0.003097921932895157
1977,hardware,AI Hardware,576,285,257,0.012768488402896364
1978,ml,Machine Learning,61,26,26,0.0024246878811284667
1978,nlp,Natural Language Processing,115,64,58,0.01067294375993303
1978,vision,Computer Vision,390,224,213,0.00929868724335348
1978,speech,Speech Recognition,108,78,77,0.002975397537162431
1978,planning,Planning & Reasoning,519,241,220,0.010093073573582186
1978,evo,Evolutionary Computation,57,16,10,0.0037303881523480177
1978,kr,Knowledge Representation,80,25,23,0.003008245628260998
1978,hardware,AI Hardware,557,283,250,0.012223945601478953
1979,ml,Machine Learning,55,16,15,0.0025399152801009474
1979,nlp,Natural Language Processing,82,42,38,0.010606168103041309
1979,vision,Computer Vision,345,201,188,0.010230304676886947
1979,speech,Speech Recognition,92,58,50,0.003190592003192029
1979,planning,Planning & Reasoning,424,212,189,0.011028032403997037
1979,evo,Evolutionary Computation,51,10,9,0.0036827272031326724
1979,kr,Knowledge Representation,54,19,15,0.00307978025112651
1979,hardware,AI Hardware,444,248,221,0.013057105257109807
1980,ml,Machine Learning,67,29,27,0.0024897023932949434
1980,nlp,Natural Language Processing,116,66,57,0.010642337930017098
1980,vision,Computer Vision,459,268,242,0.010721565830896338
1980,speech,Speech Recognition,134,82,78,0.0033242608191407317
1980,planning,Planning & Reasoning,525,270,242,0.010977551790841547
1980,evo,Evolutionary Computation,63,18,14,0.0038054096114132686
1980,kr,Knowledge Representation,86,22,15,0.003200934049214503
1980,hardware,AI Hardware,509,255,234,0.011966243563261893
1981,ml,Machine Learning,56,27,24,0.0024330006566671324
1981,nlp,Natural Language Processing,122,59,53,0.010476732981581584
1981,vision,Computer Vision,433,246,228,0.009957210919443427
1981,speech,Speech Recognition,111,81,77,0.0030077143344930278
1981,planning,Planning & Reasoning,561,299,265,0.011037095488945808
1981,evo,Evolutionary Computation,62,13,10,0.0036385067131110634
1981,kr,Knowledge Representation,83,26,24,0.003072841202726275
1981,hardware,AI Hardware,516,268,239,0.011636509148606112
1982,ml,Machine Learning,92,39,35,0.0031389913601162158
1982,nlp,Natural Language Processing,132,79,71,0.010728409418288577
1982,vision,Computer Vision,398,233,211,0.010362959527705225
1982,speech,Speech Recognition,126,90,89,0.003471306335253325
